Date,Description,Debit,Credit,Balance
25/03/2017,Eftpos Purchase               25Mar02:37 Mcdonalds Hindley St  Adelaide     Sa Au,16.60,,1710.14,
25/03/2017,Eftpos Purchase               25Mar04:09 Taxi Epay Australia   West Melbournvicau,43.29,,1666.85,
27/03/2017,Af Fitness Group Payroll,,175.00,1841.85,
28/03/2017,Black Bull Hotel Ad103511    000156,,174.92,2016.77,
03/04/2017,Af Fitness Group Payroll,,175.00,2191.77,
04/04/2017,Eftpos Purchase               03Apr23:43 Adelaide Metrocard       Adelaide     Au,50.00,,2141.77,
04/04/2017,Black Bull Hotel Ad103511    000156,,276.29,2418.06,
06/04/2017,Eftpos Purchase               06Apr11:53 Officeworks 0505         Croydon      Au,32.95,,2385.11,
07/04/2017,Eftpos Purchase               07Apr20:29 Woolworths      5317  Rundle Mall  Sa Au,29.78,,2355.33,
10/04/2017,Af Fitness Group Payroll,,65.61,2420.94,
11/04/2017,Visa Purchase                 08Apr University Of Adelai Adleiade,330.00,,2090.94,
18/04/2017,Eftpos Purchase               16Apr04:42 Bp Mile End 5937   \Mile End          Au,39.20,,2051.74,
18/04/2017,Eftpos Purchase               18Apr13:36 Whetlam Pty Ltd          Adelaide Uni Au,4.10,,2047.64,
18/04/2017,Visa Purchase                 14Apr Paypal *Optus Prepa  402935773,30.00,,2017.64,
19/04/2017,Black Bull Hotel Ad103511    000156,,275.38,2293.02,
21/04/2017,Eftpos Purchase               21Apr14:41 Just Guys Pty Ltd     Adelaide     Sa Au,30.00,,2263.02,
22/04/2017,Internet Withdrawal           22Apr00:05 Balance,1491.89,,771.13,
24/04/2017,Eftpos Purchase               22Apr21:44 1-Stop Convenience       Adelaide     Au,8.59,,762.54,
24/04/2017,Black Bull Hotel Ad103511    000156,,189.49,952.03,
24/04/2017,Af Fitness Group Payroll,,65.61,1017.64,
28/04/2017,Eftpos Purchase               28Apr16:33 Woolworths      5317  Rundle Mall  Sa Au,4.00,,1013.64,
28/04/2017,Eftpos Purchase               28Apr19:33 David Jones Limited      Adelaide  Sa Au,69.95,,943.69,
28/04/2017,Eftpos Purchase               28Apr20:07 Yd Pty Ltd 303           Adelaide  Sa Au,150.00,,793.69,
28/04/2017,Visa Purchase                 26Apr University Of Adelai Adleiade,10.00,,783.69,
01/05/2017,Af Fitness Group Payroll,,175.00,958.69,
01/05/2017,Visa Purchase                 28Apr Paypal *Adelaideuni  402935773,70.00,,888.69,
02/05/2017,Internet Withdrawal           02May10:06 From Jess,250.00,,638.69,
02/05/2017,Eftpos Purchase               02May15:17 Woolworths      5317  Rundle Mall  Sa Au,20.10,,618.59,
02/05/2017,Black Bull Hotel Ad103511    000156,,160.74,779.33,
08/05/2017,Af Fitness Group Payroll,,194.40,973.73,
09/05/2017,Black Bull Hotel Ad103511    000156,,182.01,1155.74,
10/05/2017,Internet Withdrawal           10May16:30 Tracksuit Money X3,105.00,,1050.74,
12/05/2017,Eftpos Purchase               12May20:16 Fasta Pasta Mile End  Mile End     Sa Au,26.80,,1023.94,
16/05/2017,Cash Deposit,,2900.00,3923.94,
16/05/2017,Black Bull Hotel Ad103511    000156,,189.49,4113.43,
18/05/2017,Visa Purchase                 15May Paypal *Optus Prepa  402935773,30.00,,4083.43,
20/05/2017,Eftpos Purchase               20May10:29 Coles Express 1972    Woodville       Au,39.77,,4043.66,
22/05/2017,Eftpos Purchase               22May12:56 Adelaide Metrocard    Adelaide        Au,50.00,,3993.66,
22/05/2017,Af Fitness Group Payroll,,194.40,4188.06,
23/05/2017,Atm Deposit                   23May10:53 Banksa                Adelaide0450263585,,50.00,4238.06,
23/05/2017,Black Bull Hotel Ad103511    000156,,198.56,4436.62,
23/05/2017,Visa Purchase                 20May Paypal *Uberaustral  402935773,9.97,,4426.65,
26/05/2017,Visa Purchase                 24May University Of Adelai Adleiade,6.00,,4420.65,
27/05/2017,Eftpos Purchase               27May17:53 Wokinabox             Adelaide     Sa Au,14.95,,4405.70,
27/05/2017,Eftpos Purchase               27May18:26 Adelaide University   North Adelai    Au,4.00,,4401.70,
27/05/2017,Eftpos Purchase               27May19:15 Adelaide University   North Adelai    Au,4.00,,4397.70,
27/05/2017,Eftpos Purchase               27May20:29 Adelaide University   North Adelai    Au,5.00,,4392.70,
29/05/2017,Eftpos Purchase               28May05:46 Mcdonalds Hindley St  Adelaide     Sa Au,11.00,,4381.70,
29/05/2017,Af Fitness Group Payroll,,194.40,4576.10,
30/05/2017,Black Bull Hotel Ad103511    000156,,187.92,4764.02,
31/05/2017,Eftpos Purchase               31May15:37 The General           Adelaide     Sa Au,5.00,,4759.02,
02/06/2017,Internet Withdrawal           02Jun08:47 To 105-009 113840440,4000.00,,759.02,
03/06/2017,Visa Purchase                 02Jun Adelaide Uni Sports  Adelaide,400.00,,359.02,
05/06/2017,Af Fitness Group Payroll,,194.40,553.42,
06/06/2017,Black Bull Hotel Ad103511    000156,,187.04,740.46,
10/06/2017,Eftpos Purchase               10Jun15:05 Kathmandu Pty Limite  Adelaide     Sa Au,100.00,,640.46,
10/06/2017,Eftpos Purchase               10Jun15:09 Kmart 1211            Adelaide        Au,8.00,,632.46,
10/06/2017,Eftpos Purchase               10Jun15:14 The Greeting Card Ba  Adelaide     Sa Au,5.99,,626.47,
12/06/2017,Eftpos Purchase               12Jun07:00 Mcdonalds Hindley St  Adelaide     Sa Au,12.25,,614.22,
12/06/2017,Af Fitness Group Payroll,,72.93,687.15,
13/06/2017,Black Bull Hotel Ad103511    000156,,195.60,882.75,
13/06/2017,Visa Purchase                 10Jun Paypal *Uber Au      402935773,9.09,,873.66,
16/06/2017,Eftpos Purchase               16Jun17:07 Connor Clothing Pty   Adelaide     Sa Au,89.98,,783.68,
16/06/2017,Visa Purchase                 14Jun Paypal *Optus Prepa  402935773,30.00,,753.68,
17/06/2017,Eftpos Purchase               16Jun23:23 Bpampm Westlakes 77\West Lakes        Au,34.23,,719.45,
19/06/2017,Af Fitness Group Payroll,,194.40,913.85,
19/06/2017,Visa Purchase                 15Jun Paypal *Uber Au      402935773,20.04,,893.81,
20/06/2017,Black Bull Hotel Ad103511    000156,,501.58,1395.39,
20/06/2017,Visa Purchase                 16Jun Coca-Cola Amatil     Adelaide,3.50,,1391.89,
21/06/2017,Eftpos Purchase               20Jun22:50 Adelaide Metrocard    Adelaide        Au,50.00,,1341.89,
27/06/2017,Black Bull Hotel Ad103511    000156,,190.28,1532.17,
28/06/2017,Eftpos Purchase               28Jun11:46 Just Guys Pty Ltd     Adelaide     Sa Au,28.00,,1504.17,
28/06/2017,Eftpos Purchase               28Jun11:55 Woolworths      5317  Rundle Mall  Sa Au,11.00,,1493.17,
29/06/2017,Eftpos Purchase               29Jun19:55 Subway Rundle Street  Adelaide        Au,10.50,,1482.67,
01/07/2017,Eftpos Purchase               01Jul17:19 Liberty Port Adelaide Port Adelaidesa Au,22.74,,1459.93,
01/07/2017,Eftpos Purchase               01Jul19:44 General Havelock Pty Ladelaide     Sa Au,15.00,,1444.93,
03/07/2017,Eftpos Purchase               03Jul15:28 Woolworths      5623  West Lakes   Sa Au,24.00,,1420.93,
03/07/2017,Eftpos Purchase               03Jul19:36 N N Quan Pty Ltd      Ferryden Par    Au,59.50,,1361.43,
08/07/2017,Eftpos Purchase               08Jul19:08 General Havelock Pty Ladelaide     Sa Au,10.00,,1351.43,
10/07/2017,Eftpos Purchase               10Jul10:32 The Java Hut Pty Ltd  Gawler       Sa Au,35.00,,1316.43,
10/07/2017,Visa Purchase                 07Jul Paypal *Servingitri  402935773,37.15,,1279.28,
11/07/2017,Visa Purchase                 08Jul Aust Federal Police  Sydney,42.19,,1237.09,
14/07/2017,Eftpos Purchase               14Jul18:34 The Bartley Tavern    West Lakes Shsa Au,21.00,,1216.09,
14/07/2017,Eftpos Purchase               14Jul18:52 The Bartley Tavern    West Lakes Shsa Au,13.50,,1202.59,
14/07/2017,Blackbull Hotel Wages Bb Backpay,,417.71,1620.30,
15/07/2017,Eftpos Purchase               15Jul10:29 X Convenience Semaphorexeter       Sa Au,42.48,,1577.82,
17/07/2017,Eftpos Purchase               16Jul15:39 I Lovmi Pty Ltd       West Lakes   Sa Au,35.00,,1542.82,
17/07/2017,Black Bull Hotel Black Bull Pay,,186.78,1729.60,
18/07/2017,Visa Purchase                 15Jul Paypal *Optus Prepa  402935773,30.00,,1699.60,
18/07/2017,Visa Purchase                 16Jul Paypal *Yanglili     402935773,10.63,,1688.97,
18/07/2017,Visa Purchase O/Seas          15Jul Cad226.00 Citizen&Imm-Eapps En,229.91,,1459.06,
18/07/2017,Foreign Currency Conversn Fee,6.89,,1452.17,
21/07/2017,Eftpos Purchase               21Jul10:21 Dental Corporation \/L West Lakes     Au,182.90,,1269.27,
21/07/2017,Eftpos Purchase               21Jul10:33 Kathmandu Pty Limite  West Lakes   Sa Au,17.98,,1251.29,
21/07/2017,Eftpos Purchase               21Jul11:00 The Reject Shop       West Lakes      Au,2.00,,1249.29,
21/07/2017,Atm Deposit                   21Jul11:27 Banksa                West Lak0450263585,,60.00,1309.29,
21/07/2017,Internet Withdrawal           21Jul22:02 Ur A Smely Pirate Hooker,32.00,,1277.29,
22/07/2017,Eftpos Purchase               22Jul18:52 Mighty Good Pr1173061 Hilton5         Au,5.50,,1271.79,
22/07/2017,Eftpos Purchase               22Jul21:39 Hindley St Express Su Adelaide     Sa Au,5.50,,1266.29,
24/07/2017,Black Bull Hotel Black Bull Pay,,193.28,1459.57,
26/07/2017,Eftpos Purchase               26Jul09:46 Macpac Adelaide       Adelaide     Sa Au,179.99,,1279.58,
26/07/2017,Internet Withdrawal           26Jul15:07 Pub Crawl A1686411,20.00,,1259.58,
26/07/2017,Visa Purchase                 24Jul Paypal *Sunnycomput  402935773,6.95,,1252.63,
26/07/2017,Visa Purchase                 24Jul Paypal *Lin Yao      402935773,2.66,,1249.97,
27/07/2017,Eftpos Refund                 27Jul09:48 Macpac Adelaide       Adelaide     Sa Au,,179.99,1429.96,
27/07/2017,Eftpos Purchase               27Jul09:55 Mountain Designs      Adelaide     Sa Au,132.97,,1296.99,
28/07/2017,Eftpos Purchase               28Jul11:30 Subway Rundle Street  Adelaide        Au,10.75,,1286.24,
28/07/2017,Eftpos Purchase               28Jul12:41 Cotton On Mega        West Lakes      Au,89.95,,1196.29,
28/07/2017,Eftpos Purchase               28Jul12:56 Pricesavers Westlake  West Lakes   Sa Au,23.00,,1173.29,
28/07/2017,Eftpos Purchase               28Jul13:10 Target 5394           West Lakes      Au,15.00,,1158.29,
28/07/2017,Eftpos Purchase               28Jul13:21 West Lakes Yoghurt    West Lakes      Au,10.10,,1148.19,
28/07/2017,Eftpos Purchase               28Jul13:56 Kmart 1021            West Lakes      Au,10.00,,1138.19,
28/07/2017,Eftpos Purchase               28Jul19:07 Mawson Lakes Hotel    Mawson Lakes Sa Au,16.40,,1121.79,
29/07/2017,Visa Purchase                 27Jul Paypal *Adelaideuni  402935773,100.00,,1021.79,
31/07/2017,Eftpos Purchase               30Jul01:44 Red Square Entertai\Adelaide          Au,20.00,,1001.79,
31/07/2017,Atm Withdrawal                30Jul02:04 Red Sq Entertainment #2Adelaide     05Au,60.00,,941.79,
31/07/2017,Atm Operator Fee Wdl          30Jul02:04 Red Sq Entertainment #2Adelaide     05Au,2.90,,938.89,
31/07/2017,Eftpos Purchase               30Jul03:15 Hindley Management P  Adelaide        Au,25.50,,913.39,
01/08/2017,Visa Purchase                 29Jul Paypal *Uber Au      402935773,40.32,,873.07,
05/08/2017,Eftpos Purchase               05Aug18:34 Bombay Bicycle Club   Ovingham     Sa Au,13.50,,859.57,
07/08/2017,Black Bull Hotel Black Bull Pay,,210.96,1070.53,
09/08/2017,Atm Deposit                   09Aug12:16 Banksa                Adelaide0450263585,,70.00,1140.53,
09/08/2017,Eftpos Purchase               09Aug12:33 Woolworths      5317  Rundle Mall  Sa Au,22.30,,1118.23,
10/08/2017,Eftpos Purchase               10Aug09:04 The Sports Hub        Adelaide Uni Sa Au,4.50,,1113.73,
10/08/2017,Eftpos Purchase               10Aug17:45 Adelaide Metrocard    Adelaide        Au,50.00,,1063.73,
12/08/2017,Internet Withdrawal           12Aug16:25 Cash Out,80.00,,983.73,
14/08/2017,Black Bull Hotel Black Bull Pay,,203.86,1187.59,
15/08/2017,Visa Purchase                 12Aug Paypal *Optus Prepa  402935773,30.00,,1157.59,
17/08/2017,Internet Withdrawal           17Aug21:57 Nursing Balls,69.13,,1088.46,
18/08/2017,Visa Credit Overseas          16Aug Cad126.00 Citizen&Imm-Eapps En,,125.55,1214.01,
19/08/2017,Eftpos Purchase               19Aug10:16 Australian Red Cross Sadelaide     Sa Au,36.20,,1177.81,
19/08/2017,Eftpos Purchase               19Aug10:32 Amart Adelaide Cbd    Adelaide        Au,76.00,,1101.81,
21/08/2017,Black Bull Hotel Black Bull Pay,,219.80,1321.61,
22/08/2017,Eftpos Purchase               22Aug12:03 He University Of Ade  Adelaide Uni Sa Au,13.00,,1308.61,
22/08/2017,Eftpos Purchase               22Aug12:09 He University Of Ade  Adelaide Uni Sa Au,18.00,,1290.61,
25/08/2017,Eftpos Purchase               25Aug15:21 Target 5394           West Lakes      Au,15.00,,1275.61,
25/08/2017,Eftpos Purchase               25Aug16:07 Babylon Barbers       West Lakes   Sa Au,28.00,,1247.61,
26/08/2017,Eftpos Purchase               26Aug10:27 The Bartley Tavern    West Lakes Shsa Au,62.96,,1184.65,
28/08/2017,Internet Withdrawal           28Aug17:43 To 484-799 453242790,106.01,,1078.64,
31/08/2017,Internet Withdrawal           30Aug23:35 To 105-009 112287940,25.00,,1053.64,
31/08/2017,Internet Withdrawal           30Aug23:35 To 105-008 091159640,50.00,,1003.64,
02/09/2017,Visa Credit Overseas          31Aug Cad100.00 Citizen&Imm-Eapps En,,99.94,1103.58,
04/09/2017,Eftpos Purchase               04Sep21:30 Adelaide Metrocard    Adelaide        Au,30.00,,1073.58,
04/09/2017,Black Bull Hotel Black Bull Pay,,328.83,1402.41,
09/09/2017,Visa Purchase                 07Sep Paypal *Optus Prepa  402935773,30.00,,1372.41,
11/09/2017,Black Bull Hotel Black Bull Pay,,212.41,1584.82,
16/09/2017,Eftpos Purchase               15Sep23:50 Adelaide Metrocard    Adelaide        Au,30.00,,1554.82,
16/09/2017,Eftpos Purchase               16Sep21:26 Its Convenient 2 Pty  Adelaide        Au,8.95,,1545.87,
16/09/2017,Eftpos Purchase               16Sep21:30 Subway Hindley Stree  Adelaide        Au,10.75,,1535.12,
18/09/2017,Eftpos Purchase               18Sep02:40 Sai Trading (Sa) Pty  Woodville       Au,40.18,,1494.94,
18/09/2017,Black Bull Hotel Black Bull Pay,,203.86,1698.80,
20/09/2017,Visa Purchase                 18Sep Paypal *Is Shop      402935773,12.89,,1685.91,
25/09/2017,Eftpos Purchase               23Sep22:06 Tijuana Showgirls Pt  Adelaide     Sa Au,24.00,,1661.91,
25/09/2017,Eftpos Purchase               23Sep22:45 Tijuana Showgirls Pt  Adelaide     Sa Au,36.00,,1625.91,
25/09/2017,Eftpos Purchase               24Sep01:23 Taxi Epay Australia   West Melbournvicau,42.44,,1583.47,
25/09/2017,Internet Withdrawal           24Sep12:49 Nb Voucher,25.00,,1558.47,
25/09/2017,Eftpos Purchase               24Sep13:04 General Havelock Pty Ladelaide     Sa Au,40.00,,1518.47,
25/09/2017,Eftpos Purchase               24Sep17:44 Caltex Adelaide Hutt Sadelaide     Sa Au,5.40,,1513.07,
26/09/2017,Eftpos Purchase               26Sep09:26 Mcdonalds Rundle M E  Adelaide     Sa Au,8.30,,1504.77,
26/09/2017,Eftpos Purchase               26Sep09:44 Coles 4964            Adelaide        Au,6.90,,1497.87,
26/09/2017,Visa Purchase                 25Sep Firefly Coaches      Maidstone,230.00,,1267.87,
27/09/2017,Atm Withdrawal                27Sep19:34 Banksa                Adelaide     5  Au,150.00,,1117.87,
28/09/2017,Eftpos Purchase               28Sep19:15 The Bartley Tavern    West Lakes Shsa Au,62.00,,1055.87,
29/09/2017,Eftpos Purchase               29Sep12:29 The Afl Stores        Adelaide     Sa Au,24.99,,1030.88,
29/09/2017,Eftpos Purchase               29Sep19:13 Woolworths      5317  Rundle Mall  Sa Au,4.00,,1026.88,
30/09/2017,Eftpos Purchase               30Sep07:04 Discovery Melbourn \Melbourne         Au,12.36,,1014.52,
30/09/2017,Eftpos Purchase               30Sep09:18 Discovery Melbourn \Melbourne         Au,36.40,,978.12,
30/09/2017,Atm Withdrawal                30Sep08:33 Hotel Discovery 1      Melbourne    03Au,20.00,,958.12,
30/09/2017,Atm Operator Fee Wdl          30Sep08:33 Hotel Discovery 1      Melbourne    03Au,3.00,,955.12,
30/09/2017,Eftpos Purchase               30Sep12:08 Spotless Facility Mcg Melbourne    Vicau,24.00,,931.12,
30/09/2017,Eftpos Purchase               30Sep14:24 Spotless Facility Mcg Melbourne    Vicau,4.20,,926.92,
30/09/2017,Eftpos Purchase               30Sep20:31 7-Eleven 1144         Melbourne       Au,13.00,,913.92,
30/09/2017,Eftpos Purchase               30Sep20:36 Bws Liquor      3814  Literature L Vicau,19.50,,894.42,
02/10/2017,Eftpos Purchase               01Oct01:41 Lord Of St Kilda Pl   St Kilda     Vicau,10.00,,884.42,
02/10/2017,Eftpos Purchase               01Oct13:17 Royal City Oriental   Melbourne    Vicau,30.00,,854.42,
02/10/2017,Eftpos Purchase               01Oct14:55 Fattorini Pty Ltd     Melbourne       Au,21.80,,832.62,
06/10/2017,Visa Purchase                 04Oct Paypal *Newbalancea  402935773,60.00,,772.62,
07/10/2017,Eftpos Purchase               07Oct16:44 Haigh Retail Pty Ltd  Adelaide     Sa Au,17.51,,755.11,
07/10/2017,Eftpos Purchase               07Oct16:50 Hindley St Express Su Adelaide     Sa Au,8.10,,747.01,
09/10/2017,Black Bull Hotel Black Bull Pay,,368.40,1115.41,
11/10/2017,Visa Purchase                 09Oct Paypal *Optus Prepa  402935773,30.00,,1085.41,
12/10/2017,Visa Credit                   09Oct Paypal *Is Shop      402935773,,12.89,1098.30,
12/10/2017,Visa Purchase                 10Oct Adelaide Metro       Adelaide,15.00,,1083.30,
13/10/2017,Visa Purchase                 11Oct Adelaide Metro       Adelaide,20.00,,1063.30,
16/10/2017,Eftpos Purchase               16Oct12:39 Cwh Gawler Pl      \                  Au,14.99,,1048.31,
16/10/2017,Eftpos Purchase               16Oct13:59 Ocean Three P/L    \West Lakes        Au,9.00,,1039.31,
16/10/2017,Eftpos Purchase               16Oct14:12 Kmart 1021            West Lakes      Au,3.75,,1035.56,
16/10/2017,Eftpos Purchase               16Oct14:28 Babylon Barbers       West Lakes   Sa Au,28.00,,1007.56,
16/10/2017,Eftpos Purchase               16Oct14:45 Target 5394           West Lakes      Au,54.35,,953.21,
16/10/2017,Eftpos Purchase               16Oct14:46 Target 5394           West Lakes      Au,20.00,,933.21,
16/10/2017,Black Bull Hotel Black Bull Pay,,322.13,1255.34,
17/10/2017,Transfer To A/C,250.00,,1005.34,
18/10/2017,Eftpos Purchase               18Oct09:52 Terry White Chmrt Rnd Adelaide     Sa Au,12.99,,992.35,
20/10/2017,Visa Purchase                 19Oct Obikeaudeposit       Canberra,9.90,,982.45,
21/10/2017,Eftpos Purchase               21Oct11:24 The Javahut           Gawler       Sa Au,36.50,,945.95,
21/10/2017,Eftpos Purchase               21Oct18:57 Cathedral Pub Pl      North Adelaidsa Au,8.00,,937.95,
21/10/2017,Eftpos Purchase               21Oct19:21 Cathedral Pub Pl      North Adelaidsa Au,8.00,,929.95,
21/10/2017,Eftpos Purchase               21Oct21:02 Cathedral Pub Pl      North Adelaidsa Au,4.00,,925.95,
23/10/2017,Black Bull Hotel Black Bull Pay,,379.14,1305.09,
24/10/2017,Eftpos Purchase               24Oct12:39 Singapore Delights    Adelaide        Au,10.65,,1294.44,
24/10/2017,Eftpos Purchase               24Oct12:42 Zhiai Pty Ltd         Adelaide     Sa Au,7.20,,1287.24,
24/10/2017,Eftpos Purchase               24Oct12:49 Zhiai Pty Ltd         Adelaide     Sa Au,9.00,,1278.24,
24/10/2017,Visa Purchase                 21Oct Yellow Cab Sa 132227 Glandore,7.81,,1270.43,
30/10/2017,Eftpos Purchase               30Oct10:08 Liberty Golden Grov\Golden Grove      Au,41.31,,1229.12,
30/10/2017,Black Bull Hotel Black Bull Pay,,384.62,1613.74,
31/10/2017,Visa Purchase                 28Oct City Of West Torrens Hilton,156.00,,1457.74,
02/11/2017,Visa Purchase                 31Oct University Of Adelai Adleiade,6.00,,1451.74,
02/11/2017,Visa Purchase                 31Oct University Of Adelai Adleiade,6.00,,1445.74,
03/11/2017,Ato Ato001000009389676,,546.00,1991.74,
03/11/2017,Eftpos Purchase               03Nov10:58 Whetlam Pty Ltd       Adelaide Uni    Au,12.50,,1979.24,
04/11/2017,Visa Purchase                 02Nov Adelaide Metro       Adelaide,15.00,,1964.24,
06/11/2017,Eftpos Purchase               06Nov16:01 Rebel Adelaide Cbd/C  Adelaide        Au,14.98,,1949.26,
06/11/2017,Eftpos Purchase               06Nov16:44 Taste Baguette        Adelaide Uni Sa Au,7.50,,1941.76,
06/11/2017,Black Bull Hotel Black Bull Pay,,258.97,2200.73,
08/11/2017,Cheque Deposit,,500.00,2700.73,
08/11/2017,Eftpos Purchase               08Nov15:59 Woolworths      5317  Rundle Mall  Sa Au,6.50,,2694.23,
08/11/2017,Eftpos Purchase               08Nov16:02 Gong Cha              Adelaide        Au,7.00,,2687.23,
